Card Number,Card Name,Card Type,Lesson Type,Set name,QA status
69,Transmogrify,Spell,Transfiguration,Base Set,not tested
70,Unusual Pets,Adventure,none,Base Set,not tested
71,Vanishing Glass,Spell,Transfiguration,Base Set,not tested
72,Winged Keys,Item,Transfiguration,Base Set,not tested
73,Accio,Spell,Charms,Base Set,not tested
74,Avifors,Spell,Transfiguration,Base Set,not tested
75,Baubillious,Spell,Charms,Base Set,not tested
76,Boa Constrictor,Creature,Care of Magical Creatures,Base Set,not tested
77,Boil Cure,Spell,Potions,Base Set,not tested
78,Borrowed Wand,Item,Charms,Base Set,not tested
79,Cauldron to Sieve,Spell,Transfiguration,Base Set,not tested
80,Curious Raven,Creature,Care of Magical Creatures,Base Set,not tested
81,Dungbomb,Spell,Potions,Base Set,not tested
82,Epoximise,Spell,Transfiguration,Base Set,not tested
83,Erumpent Potion,Spell,Potions,Base Set,not tested
84,Fluffy Falls Asleep,Spell,Care of Magical Creatures,Base Set,not tested
85,Forest Troll,Creature,Care of Magical Creatures,Base Set,not tested
86,Forgetfulness Potion,Spell,Potions,Base Set,not tested
87,Foul Brew,Spell,Potions,Base Set,not tested
88,Giant Tarantula,Creature,Care of Magical Creatures,Base Set,not tested
89,Hagrid and the Stranger,Spell,Care of Magical Creatures,Base Set,not tested
90,Homework,Spell,Transfiguration,Base Set,not tested
91,Hospital Wing,Spell,Potions,Base Set,not tested
92,Illegibilus,Spell,Charms,Base Set,not tested
93,Incarcifors,Spell,Transfiguration,Base Set,not tested
94,Lost Notes,Spell,Transfiguration,Base Set,not tested
95,Magical Mishap,Spell,Charms,Base Set,not tested
96,Noxious Poison,Spell,Potions,Base Set,not tested
97,Out of the Woods,Spell,Charms,Base Set,not tested
98,Pet Rat,Creature,Care of Magical Creatures,Base Set,not tested
99,Pewter Cauldron,Item,Potions,Base Set,not tested
100,Potions Mistake,Spell,Potions,Base Set,not tested
101,Remembrall,Item,Transfiguration,Base Set,not tested
102,Restricted Section,Spell,Transfiguration,Base Set,not tested
103,Scottish Stag,Creature,Care of Magical Creatures,Base Set,not tested
104,Snape's Question,Spell,Potions,Base Set,not tested
105,Squiggle Quill,Spell,Transfiguration,Base Set,not tested
106,Steelclaw,Spell,Transfiguration,Base Set,not tested
107,Surly Hound,Creature,Care of Magical Creatures,Base Set,not tested
108,Toe Biter,Spell,Charms,Base Set,not tested
109,Vermillious,Spell,Charms,Base Set,not tested
110,Vicious Wolf,Creature,Care of Magical Creatures,Base Set,not tested
111,Wingardium Leviosa!,Spell,Charms,Base Set,not tested
112,Wizard Crackers,Spell,Charms,Base Set,not tested
113,Care of Magical Creatures,Lesson,Care of Magical Creatures,Base Set,not tested
114,Charms,Lesson,Charms,Base Set,not tested
115,Potions,Lesson,Potions,Base Set,not tested
116,Transfiguration,Lesson,Transfiguration,Base Set,not tested
